"","year","state","state_po","candidate","party","state_sum","statetotal","state_percent"
"57",2004,"COLORADO","CO","GEORGE W. BUSH","REPUBLICAN",1101255,2129630,51.7110953545921
"58",2004,"CONNECTICUT","CT","JOHN KERRY","DEMOCRAT",857488,1578769,54.3137089719902
"59",2004,"DELAWARE","DE","JOHN KERRY","DEMOCRAT",200141,375170,53.346749473572
"60",2004,"DISTRICT OF COLUMBIA","DC","JOHN KERRY","DEMOCRAT",202970,227586,89.1838689550324
"61",2004,"FLORIDA","FL","GEORGE W. BUSH","REPUBLICAN",3964522,7609810,52.097516232337
"62",2004,"GEORGIA","GA","GEORGE W. BUSH","REPUBLICAN",1914254,3298790,58.0289742602591
"63",2004,"HAWAII","HI","JOHN KERRY","DEMOCRAT",231335,428555,53.9802359090432
"64",2004,"IDAHO","ID","GEORGE W. BUSH","REPUBLICAN",409235,598376,68.3909448239903
"65",2004,"ILLINOIS","IL","JOHN KERRY","DEMOCRAT",2891989,5275415,54.8201231561877
"66",2004,"INDIANA","IN","GEORGE W. BUSH","REPUBLICAN",1479438,2468002,59.9447650366572
"67",2004,"IOWA","IA","GEORGE W. BUSH","REPUBLICAN",751957,1506908,49.9006575053022
"68",2004,"KANSAS","KS","GEORGE W. BUSH","REPUBLICAN",736456,1187756,62.0039806155473
"69",2004,"KENTUCKY","KY","GEORGE W. BUSH","REPUBLICAN",1069439,1795860,59.5502433374539
"70",2004,"LOUISIANA","LA","GEORGE W. BUSH","REPUBLICAN",1102169,1943106,56.72202134109
"71",2004,"MAINE","ME","JOHN KERRY","DEMOCRAT",364153,686510,53.0440925842304
"72",2004,"MARYLAND","MD","JOHN KERRY","DEMOCRAT",1334493,2386678,55.91424565861
"73",2004,"MASSACHUSETTS","MA","JOHN KERRY","DEMOCRAT",1803800,2912388,61.9354289332328
"74",2004,"MICHIGAN","MI","JOHN KERRY","DEMOCRAT",2479183,4839252,51.2307067290565
"75",2004,"MINNESOTA","MN","JOHN KERRY","DEMOCRAT",1444751,2827850,51.0900861078204
"76",2004,"MISSISSIPPI","MS","GEORGE W. BUSH","REPUBLICAN",666295,1114859,59.7649568241365
"77",2004,"MISSOURI","MO","GEORGE W. BUSH","REPUBLICAN",1455713,2731364,53.2961919392655
"78",2004,"MONTANA","MT","GEORGE W. BUSH","REPUBLICAN",266063,450434,59.0681431685885
"79",2004,"NEBRASKA","NE","GEORGE W. BUSH","REPUBLICAN",512814,778186,65.8986411988907
"80",2004,"NEVADA","NV","GEORGE W. BUSH","REPUBLICAN",418690,829587,50.4696915453111
"81",2004,"NEW HAMPSHIRE","NH","JOHN KERRY","DEMOCRAT",340511,677662,50.247911200569
"82",2004,"NEW JERSEY","NJ","JOHN KERRY","DEMOCRAT",1911430,3609691,52.9527319651461
"83",2004,"NEW MEXICO","NM","GEORGE W. BUSH","REPUBLICAN",376930,756304,49.8384247604138
"84",2004,"NEW YORK","NY","JOHN KERRY","DEMOCRAT",4180755,7391036,56.5652095321955
"85",2004,"NORTH CAROLINA","NC","GEORGE W. BUSH","REPUBLICAN",1961166,3501007,56.0171973377945
